bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text
174616,7687126,추천받고 갔는데 친절하시구 차근차근 설명해주셔서 좋았어요 !그리고 오래기다리지않게 해주셔서 좋았어요 만족합니다,5,1,,,2019.11.16,qwee****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,추천받고 갔는데 친절하시구 차근차근 설명해주셔서 좋았어요 !그리고 오래기다리지않게 해주셔서 좋았어요 만족합니다
174616,7669684,매복사랑니 때문에 여러치과를 방문하였지만 미네르반치과 원장님께서만 자세한 설명을 해주셔서 마음이 한결 가벼워졌습니다 너무 감사드리고 다음번 검진때 다시 뵙겠습니다 감사합니다:),5,1,,,2019.11.15,hjfa****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,매복사랑니 때문에 여러치과를 방문하였지만 미네르반치과 원장님께서만 자세한 설명을 해주셔서 마음이 한결 가벼워졌습니다 너무 감사드리고 다음번 검진때 다시 뵙겠습니다 감사합니다:)
174616,7535257,저번에 사랑니 뽑고 남아있는 사랑니 마저 뽑으러 갔어요! 제대로 누운 매복사랑니였는데 진짜 잘 뽑아주십니다 ㅋㅋ 친절하시기도 하구요. 예약만 하고 가면 사람도 많지 않아서 후딱 끝나요 짱,5,1,,,2019.11.05,dorw****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,저번에 사랑니 뽑고 남아있는 사랑니 마저 뽑으러 갔어요! 제대로 누운 매복사랑니였는데 진짜 잘 뽑아주십니다 ㅋㅋ 친절하시기도 하구요. 예약만 하고 가면 사람도 많지 않아서 후딱 끝나요 짱
174616,7522490,매복 사랑니 발치 때문에 갔었는데 걱정했던 것보다 하나도 아프지 않게 잘 빼주셨어요. 사랑니 발치 추천합니다!,5,1,,,2019.11.04,gide****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,매복 사랑니 발치 때문에 갔었는데 걱정했던 것보다 하나도 아프지 않게 잘 빼주셨어요. 사랑니 발치 추천합니다!
174616,7478757,스켈링했는데 양칫법도 소상히 알려주시고 간호사분들이 친절하시네요.,5,1,,,2019.11.01,many****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,스켈링했는데 양칫법도 소상히 알려주시고 간호사분들이 친절하시네요.
174616,7641706,매복 사랑니 양쪽 다 뺐는데 예약하고 가면 거의 기다리지도 않고 친절하게 대해주셔서 좋았어요. 매복이면 많이 아프다고 했는데 뺄 때도 그렇게 아프지않고 회복도 빠르게 돼서 좋았습니당,5,1,,,2019.10.25,yuji****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,매복 사랑니 양쪽 다 뺐는데 예약하고 가면 거의 기다리지도 않고 친절하게 대해주셔서 좋았어요. 매복이면 많이 아프다고 했는데 뺄 때도 그렇게 아프지않고 회복도 빠르게 돼서 좋았습니당
174616,7268636,예약하니까 빨리 가서 좋네요 꼼꼼하세요,5,1,,,2019.10.17,100s****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,예약하니까 빨리 가서 좋네요 꼼꼼하세요
174616,7373390,의사쌤이 친절하고 신경다발에 닿은 매복사랑니였는데 안아팠어요,5,1,,,2019.10.14,j_47****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,의사쌤이 친절하고 신경다발에 닿은 매복사랑니였는데 안아팠어요
174616,7081371,엄청 친절하시고 치과인데 치과 그 특유의 냄새가 없어서 치과 아닌것 같아요~,5,1,,,2019.10.04,para****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,엄청 친절하시고 치과인데 치과 그 특유의 냄새가 없어서 치과 아닌것 같아요~
174616,6944900,사랑니를 잘빼주셔요,5,1,,,2019.09.23,prpr****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,사랑니를 잘빼주셔요
174616,6688053,"어제 사랑니 발치했는데 아직까진 큰 고통이 없어서 원래 이런건가 싶네용
감사합니다",5,1,,,2019.09.03,free****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,"어제 사랑니 발치했는데 아직까진 큰 고통이 없어서 원래 이런건가 싶네용
감사합니다"
174616,6539678,자세한 설명과 더불어 만족스러운 진료에 감사드립니다.,5,1,,,2019.08.24,jeck****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,자세한 설명과 더불어 만족스러운 진료에 감사드립니다.
174616,6545587,"편안한분위기에 과잉진료가 없으신것 같아서 믿음이 갑니다.
현재 신경치료중인데 지금까지 여러치과다녀봤지만 아픔도 덜한것 같고
마음이 편안하게 진료를 받을 수 있어서 좋아요",5,1,,,2019.08.21,ara0****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,"편안한분위기에 과잉진료가 없으신것 같아서 믿음이 갑니다.
현재 신경치료중인데 지금까지 여러치과다녀봤지만 아픔도 덜한것 같고
마음이 편안하게 진료를 받을 수 있어서 좋아요"
174616,6354451,여기만 다녀요,5,1,,,2019.08.14,100s****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,여기만 다녀요
174616,6270266,매번 친절하고 자세하게 말씀해주셔서 감사합니다,5,1,,,2019.08.09,star****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,매번 친절하고 자세하게 말씀해주셔서 감사합니다
174616,6244334,지인소개로 갔는데 일단 병원분위기 차분하고 간호사카 원장님 모두 친절했습니다 매복사랑니 발치도 잘 해주셨지만 안면비대칭에 관한 상담도 더불어 자세하게 해주셨어요 대학병원은 보통 3개월 기다려야했는데 기다림없이 발치할 수 있어서 좋았습니다,5,1,,,2019.08.06,sion****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,지인소개로 갔는데 일단 병원분위기 차분하고 간호사카 원장님 모두 친절했습니다 매복사랑니 발치도 잘 해주셨지만 안면비대칭에 관한 상담도 더불어 자세하게 해주셨어요 대학병원은 보통 3개월 기다려야했는데 기다림없이 발치할 수 있어서 좋았습니다
174616,5989927,사랑니 뽑았는데 친절하시고 하나도 안 아프게 (마취주사는 쪼금 아프지만) 잘 뽑아주셔서 대만족입니다! 나머지 사랑니도 여기서 뽑으려구요??,5,1,,,2019.07.25,dorw****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,사랑니 뽑았는데 친절하시고 하나도 안 아프게 (마취주사는 쪼금 아프지만) 잘 뽑아주셔서 대만족입니다! 나머지 사랑니도 여기서 뽑으려구요??
174616,5683519,깔끔하게 잘 뽑아주세요 주변에 사랑니 뽑는 사람 있으면 여기 추천 할겁니다,5,1,,,2019.07.02,chld****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,깔끔하게 잘 뽑아주세요 주변에 사랑니 뽑는 사람 있으면 여기 추천 할겁니다
174616,5603065,"윗 사랑니 뽑으러 갔는데 완전 쓱빡딱 뽑아주셨어요.
뽑히는지도 몰랐어요.
동생도 여기서 3개나 뽑았는데 만족해하고, 저도 만족합니당ㅎㅎ",5,1,,,2019.06.25,tnql****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,"윗 사랑니 뽑으러 갔는데 완전 쓱빡딱 뽑아주셨어요.
뽑히는지도 몰랐어요.
동생도 여기서 3개나 뽑았는데 만족해하고, 저도 만족합니당ㅎㅎ"
174616,5507481,매복사랑니 발치 성공했습니다. 3군데의 병원에서 안된다고 했는데 이곳 원장님은 쉽게 해결해 주시네요. 마취후 통증 걱정했는데 통증도 없네요. 매복사랑니 발치에 미네르반 원장님 추천합니다,5,1,,,2019.06.18,skyl****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,매복사랑니 발치 성공했습니다. 3군데의 병원에서 안된다고 했는데 이곳 원장님은 쉽게 해결해 주시네요. 마취후 통증 걱정했는데 통증도 없네요. 매복사랑니 발치에 미네르반 원장님 추천합니다
174616,5448056,대학병원안가도 어려운매복치 신경도조심해서 순식간에 잘뽑아주셨고 붓기도없네요^^,5,1,,,2019.06.14,lksh****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,대학병원안가도 어려운매복치 신경도조심해서 순식간에 잘뽑아주셨고 붓기도없네요^^
174616,5437140,"사랑니 발치했어요.  엄청 겁먹었는데 잘 뽑아주셨어요. 

어제 발치했는데 마취풀리고도 큰진통없어요.  추천합니다",5,1,,,2019.06.13,faye****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,"사랑니 발치했어요.  엄청 겁먹었는데 잘 뽑아주셨어요. 

어제 발치했는데 마취풀리고도 큰진통없어요.  추천합니다"
174616,5679732,정말 친절하시고 좋아요. 사랑니 뽑는거 많이 걱정했는데 붓기도 하루도 안돼서 없어지구 아프지도 않네요,5,1,,,2019.06.11,jmk7****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,정말 친절하시고 좋아요. 사랑니 뽑는거 많이 걱정했는데 붓기도 하루도 안돼서 없어지구 아프지도 않네요
174616,5333562,꼼꼼하게 설명을 잘해주셔서 믿고 치료받을 수있었어요.,5,1,,,2019.06.05,jhun****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,꼼꼼하게 설명을 잘해주셔서 믿고 치료받을 수있었어요.
174616,5159087,원장님 진짜손빠르시고 잘하세요. 레진 처음이라 아직 많이 시리긴한데 며칠 있어보고 이상있으면 재방문드리려구요. 다좋은데 간호사분들만 좀더친절하셨으면 좋겠어요~^^,4,1,,,2019.05.22,nlsi****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,원장님 진짜손빠르시고 잘하세요. 레진 처음이라 아직 많이 시리긴한데 며칠 있어보고 이상있으면 재방문드리려구요. 다좋은데 간호사분들만 좀더친절하셨으면 좋겠어요~^^
174616,5079824,친절하고 꼼꼼하게 검사하고 아프지않게 발치했어요,5,1,,,2019.05.15,qazw****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,친절하고 꼼꼼하게 검사하고 아프지않게 발치했어요
174616,4810897,"대기도 안길고 친절하게 설명해주시면서 치료해주셔서 생각보다 안아프게 빨리 뽑아주셨어요.
누워있는 이라 겁먹었는데 별 탈 없이 치료 잘 받았습니다!",5,1,,,2019.04.23,joeu****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,"대기도 안길고 친절하게 설명해주시면서 치료해주셔서 생각보다 안아프게 빨리 뽑아주셨어요.
누워있는 이라 겁먹었는데 별 탈 없이 치료 잘 받았습니다!"
174616,4913809,과잉진료 없으신거같고 원장님 친절하세요. 내일 사랑니발치 예약했는데 다녀와서 후기 다시 남기겠습니다,4,1,,,2019.04.20,nlsi****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,과잉진료 없으신거같고 원장님 친절하세요. 내일 사랑니발치 예약했는데 다녀와서 후기 다시 남기겠습니다
174616,4757641,"치과 선택은 참 어렵습니다
안아프게 해줄지..친절하게 해줄지 과잉진료는 하지 않을지..
서울미네르반치과는 이 세가지에서 만족감을 얻으실 수 있을것 같네요!",5,1,,,2019.04.10,will****,서울미네르반치과 일반진료,서울미네르반치과의원,,false,"치과 선택은 참 어렵습니다
안아프게 해줄지..친절하게 해줄지 과잉진료는 하지 않을지..
서울미네르반치과는 이 세가지에서 만족감을 얻으실 수 있을것 같네요!"
174616,4576434,금방뽑았습니다. 붓기도 없었고 안아프게 뽑았네요 가족추천받아 왔는데 만족합니다.,5,1,,,2019.03.29,lovi****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,금방뽑았습니다. 붓기도 없었고 안아프게 뽑았네요 가족추천받아 왔는데 만족합니다.
174616,4379176,사랑니가  너무 아프고  염증 심해서 급하게  알아보다 소개받고 갔는데  너무 잘뽑으시고  얼굴도  거의 안부어서  좋았습니다  스켈링도   다음날  받았는데 통증이  크지않아  모든게  좋았습니다,5,1,,,2019.03.04,won0****,"수술발치 진료 예약[사랑니,매복치,과잉치]",서울미네르반치과의원,,false,사랑니가  너무 아프고  염증 심해서 급하게  알아보다 소개받고 갔는데  너무 잘뽑으시고  얼굴도  거의 안부어서  좋았습니다  스켈링도   다음날  받았는데 통증이  크지않아  모든게  좋았습니다
