bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,replyRegDate
191894,6721499,"십수년전 크라운 치료한 부위가 불편하여 방문하였습니다. 동네 다니던 치과(그 곳도 제가 판단하기에는 과잉진료 없는 양심치과입니다.)에서는 엑스레이를 찍어봐도 별 이상이 없다고 계속 불편하면 크라운을 뜯고 살펴보고 다시 크라운을 하는 수밖에 없다고 했던터라 다른 전처리 방법은 없는지 알아보다 보존과 전문병원을 찾게 됐습니다. 이 곳에서는 전체 스케일링- 최소 1주 후 해당부위 필요시 잇몸치료+ 뾰족하게 패여 음식물이 자주끼는 잇몸을 완만하게 해주는 연고치료를 먼저 해보고 크라운을 다시 할지 여부를 결정하자고 하셨고 그 과정 제안에 만족합니다. 덤으로 세부사항은 1. 접수,수납 직원분이 아주 상냥하시고 2. 스케일링은 표면마취없이(이 부분은 아쉬움) 해선지 많이 아프고 좀 거칠게 느껴졌습니다. 총평은 만족!",5,1,,,2019.09.06,dark****,진료시간 예약,연세마이덴치과의원,,false,"십수년전 크라운 치료한 부위가 불편하여 방문하였습니다. 동네 다니던 치과(그 곳도 제가 판단하기에는 과잉진료 없는 양심치과입니다.)에서는 엑스레이를 찍어봐도 별 이상이 없다고 계속 불편하면 크라운을 뜯고 살펴보고 다시 크라운을 하는 수밖에 없다고 했던터라 다른 전처리 방법은 없는지 알아보다 보존과 전문병원을 찾게 됐습니다. 이 곳에서는 전체 스케일링- 최소 1주 후 해당부위 필요시 잇몸치료+ 뾰족하게 패여 음식물이 자주끼는 잇몸을 완만하게 해주는 연고치료를 먼저 해보고 크라운을 다시 할지 여부를 결정하자고 하셨고 그 과정 제안에 만족합니다. 덤으로 세부사항은 1. 접수,수납 직원분이 아주 상냥하시고 2. 스케일링은 표면마취없이(이 부분은 아쉬움) 해선지 많이 아프고 좀 거칠게 느껴졌습니다. 총평은 만족!",
191894,5576614,진료 봐주시는 모든 분들이 친절해서 좋았습니다.,5,1,,,2019.06.24,gury****,진료시간 예약,연세마이덴치과의원,,false,진료 봐주시는 모든 분들이 친절해서 좋았습니다.,
191894,5838269,늘 감사합니다~~~♡♡♡,5,1,,,2019.06.24,jkim****,진료시간 예약,연세마이덴치과의원,,false,늘 감사합니다~~~♡♡♡,
191894,4894888,병원이 깨끗하고 쾌적했어요 !,4,1,,,2019.05.01,jiba****,진료시간 예약,연세마이덴치과의원,,false,병원이 깨끗하고 쾌적했어요 !,
191894,4614347,항상 친절하게 대해주셔서 공포가 덜해요,5,1,,,2019.03.14,newy****,진료시간 예약,연세마이덴치과의원,,false,항상 친절하게 대해주셔서 공포가 덜해요,
191894,3696625,친구한테 소개받고 정기점검이랑 약간 시린곳도 있어 점검차 방문했습니다. 그런데 이를 한번 쓱 보시더니 의심가는 곳이 3곳이나 된다며.... 사진을 찍어보자고 해서 사진을 찍어 봤는데 딱 3군데의 충치가 발견(신뢰감 급상승*^^*)이 되었고 그중 한개는 급하게 치료를 요하는 상태였습니다. 사진을 보면서 부위별로 차근차근 설명을 해주셔서 제가 보더라도 이상이 있는 것을 알 수 있었습니다. 다행히 2개 충치는 바로 치료 가능해서 바로 치료해 주셨고 1군데는 신경치료가 필요할 수 있다고 하셔서 걱정했는데 최대한 살려보자고 하시면서 치료를 받았습니다. 다행히 신경치료까지가지 않고 치료를 받았습니다. 역시 이 관리는 주기적 점검이 필수..다른곳 점검에서는 이상없다고 했는데..실력은 더더욱 필수~ 최고의진료 감사합니다.,5,1,안녕하세요. 저희 병원은 환자분처럼 소개로 오시는 분들이 많은데 이렇게 치료에 만족하시고 후기까지 남겨주셔서 감사합니다^^ 연세마이덴치과는 보존과원장님이 두 분이나 계셔서 과잉진료 없이 꼭 필요한 치료만 진행하고 있습니다. 말씀해주신 것처럼 치료가 필요한 부위를 사진을 통해 쉽게 설명해드리기 때문에 믿고 치료받으시는 것 같아요:) 충치치료 받으셨으니 6개월에 한 번씩 정기검진 꼭 해주셔야 되는 것 알고계시죠? 치아 관리 잘 해주시고 정기검진 때 뵙겠습니다. 감사합니다^^ ,,2018.12.13,merm****,진료시간 예약,연세마이덴치과의원,,false,친구한테 소개받고 정기점검이랑 약간 시린곳도 있어 점검차 방문했습니다. 그런데 이를 한번 쓱 보시더니 의심가는 곳이 3곳이나 된다며.... 사진을 찍어보자고 해서 사진을 찍어 봤는데 딱 3군데의 충치가 발견(신뢰감 급상승*^^*)이 되었고 그중 한개는 급하게 치료를 요하는 상태였습니다. 사진을 보면서 부위별로 차근차근 설명을 해주셔서 제가 보더라도 이상이 있는 것을 알 수 있었습니다. 다행히 2개 충치는 바로 치료 가능해서 바로 치료해 주셨고 1군데는 신경치료가 필요할 수 있다고 하셔서 걱정했는데 최대한 살려보자고 하시면서 치료를 받았습니다. 다행히 신경치료까지가지 않고 치료를 받았습니다. 역시 이 관리는 주기적 점검이 필수..다른곳 점검에서는 이상없다고 했는데..실력은 더더욱 필수~ 최고의진료 감사합니다.,2018.12.20 12:39:25
191894,3655643,"온라인 예약으로 진료를 받았는데 예약 후 바로 확인 전화 및 안내를 해주셔서 어렵지 않게 진료예약을 할 수 있었습니다. 그리고 자세한 설명과 함께 꼼꼼하게 확인하고 진료를 해주셔서 치과진료임에도 편안한 마음으로 진료를 받을 수 있었습니다. 진료장비 역시 최신 제품으로 되어 있구요 가장 마음에 드는 점은 다양한 영역을 전공하신 치과의사선생님이 계신 것과 해당 영역을 전공한 치과의사선생님께 배정이 되서 치료를 받을 수 있는 점, 내가 가지고 있는 이를 최대한 살려서 치료를 해주시려 한다는 점이 가장 좋았습니다. 앞으로도 쭉 애용하도록 하겠습니다. 원장님 말씀처럼 정기검진도 꼭 받도록 하겠습니다. 오늘 치료 감사했습니다.  추운날 감기 조심하시고 남은 치료도 잘 부탁드려요*^^* 네이버 예약 기능도 참 편하네요.",5,1,"안녕하세요. 네이버 예약은 검색 후 바로 예약까지 가능해서 바쁜 현대인들에게 참 편리한 기능입니다. 이렇게 네이버 예약을 통해 연세마이덴치과에 내원해주시고 정성 가득한 후기 남겨주셔서 감사합니다:) 더불어 병원시설 및 서비스, 치료도 만족하셨다니 참 뿌듯하네요~주변에 소개 많이 해주세요^^ 남은 치료도 끝까지 잘 마무리 해드릴게요. 감기 조심하시고 다음 예약 때 뵙겠습니다:) ",,2018.12.11,zabu****,진료시간 예약,연세마이덴치과의원,,false,"온라인 예약으로 진료를 받았는데 예약 후 바로 확인 전화 및 안내를 해주셔서 어렵지 않게 진료예약을 할 수 있었습니다. 그리고 자세한 설명과 함께 꼼꼼하게 확인하고 진료를 해주셔서 치과진료임에도 편안한 마음으로 진료를 받을 수 있었습니다. 진료장비 역시 최신 제품으로 되어 있구요 가장 마음에 드는 점은 다양한 영역을 전공하신 치과의사선생님이 계신 것과 해당 영역을 전공한 치과의사선생님께 배정이 되서 치료를 받을 수 있는 점, 내가 가지고 있는 이를 최대한 살려서 치료를 해주시려 한다는 점이 가장 좋았습니다. 앞으로도 쭉 애용하도록 하겠습니다. 원장님 말씀처럼 정기검진도 꼭 받도록 하겠습니다. 오늘 치료 감사했습니다.  추운날 감기 조심하시고 남은 치료도 잘 부탁드려요*^^* 네이버 예약 기능도 참 편하네요.",2018.12.13 10:55:05
191894,3610673,이런리뷰를 잘남기질않는 저이지만 한분한분 가족같이 챙겨주시고 항상밝게 미소로맞아주시고 치과가정말깨끗하고 대접받는느낌 아주대만족 무엇보다남택진원장님의 최대한 제 이빨을사려주시려는모습에감동 돈이얼마보다 정말치료다운치료받은거같아요.평생단골예약이용 ...감사합니다,5,1,안녕하세요. 저희 치과에 내원 해주신 후 이렇게 리뷰까지 남겨주시고~너무 감사합니다:) 치료가 만족스러우셨다니 다행입니다. 앞으로도 질 높은 진료로 보답하겠습니다.^^,,2018.12.05,nth0****,진료시간 예약,연세마이덴치과의원,,false,이런리뷰를 잘남기질않는 저이지만 한분한분 가족같이 챙겨주시고 항상밝게 미소로맞아주시고 치과가정말깨끗하고 대접받는느낌 아주대만족 무엇보다남택진원장님의 최대한 제 이빨을사려주시려는모습에감동 돈이얼마보다 정말치료다운치료받은거같아요.평생단골예약이용 ...감사합니다,2018.12.05 18:27:39
191894,3620123,"늘 권희준 원장님께 진료받는 환자입니다. 다른데서 뽑아야 한다, 임플란트 해야한다던 치아 멋지게 치료해주셔서 지금은 불편 없이 잘 쓰고 있습니다. 남은 충치도 잘 치료해주세요.",5,1,안녕하세요. 권희준 원장님은 보존과 전문의로 자연치아를 최대한 살리는 방향으로 치료를 하고 계십니다. 발치 권유 받았던 치아를 잘 치료 받아 불편함 없이 사용하고 계시다고 하니 너무 다행이에요. 남은 충치치료도 마무리 잘 해드릴게요:),,2018.12.04,iamy****,진료시간 예약,연세마이덴치과의원,,false,"늘 권희준 원장님께 진료받는 환자입니다. 다른데서 뽑아야 한다, 임플란트 해야한다던 치아 멋지게 치료해주셔서 지금은 불편 없이 잘 쓰고 있습니다. 남은 충치도 잘 치료해주세요.",2018.12.10 11:56:27
191894,3606623,감사합니다,5,1,안녕하세요. 저희 치과에 내원해주셔서 감사합니다. 앞으로도 네이버 예약을 통해 편리하게 내원가능하니 많은 이용 부탁드립니다 :) ,,2018.11.27,erfo****,진료시간 예약,연세마이덴치과의원,,false,감사합니다,2018.12.05 17:48:59
