bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,replyRegDate
115236,6868503,"후기에서 다들 직원분들이 친절하다고 하셨는데 알것같아요!!!~~^^
원장선생님도 좋아요!
피부과 추천드릴게요~!!",5,1,,,2019.09.18,hani****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,"후기에서 다들 직원분들이 친절하다고 하셨는데 알것같아요!!!~~^^
원장선생님도 좋아요!
피부과 추천드릴게요~!!",
115236,4680352,여드름때문에 알아보다가 친구가 하도 추천해서 방문했는데 상담이랑 직원분들도 친절하셔서 넘 좋았어요~ 원장님께서 꼼꼼하게 해주셔서 너무 만족해요.,5,1,,,2019.03.20,yeon****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,여드름때문에 알아보다가 친구가 하도 추천해서 방문했는데 상담이랑 직원분들도 친절하셔서 넘 좋았어요~ 원장님께서 꼼꼼하게 해주셔서 너무 만족해요.,
115236,4603469,문신제거로 3번째 방문했는데 새로 이사한곳 시설도 좋고 다들친절하게 대해주셔서 좋았구요 문신도 점점 없어지는것 같아 행복합니다^^,4,1,,,2019.03.15,hj-y****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,문신제거로 3번째 방문했는데 새로 이사한곳 시설도 좋고 다들친절하게 대해주셔서 좋았구요 문신도 점점 없어지는것 같아 행복합니다^^,
115236,4444150,치료잘받고왔네요ㅎㅎ원장님도 직원도친절하고 무엇보다 결과가좋아서 만족합니다,5,1,,,2019.03.12,jooy****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,치료잘받고왔네요ㅎㅎ원장님도 직원도친절하고 무엇보다 결과가좋아서 만족합니다,
115236,2645824,그닥 친절하진 않네요,1,1,,,2018.07.21,9044****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,그닥 친절하진 않네요,
115236,2069905,여드름땜에 약처방받았는데 약도 속에 불편함없고 좋아요,5,1,"김예윤님~ 감사합니다. 
더욱더 노력하는 목동미소가인피부과가 되겠습니다. 남은오후도 행복하세요~",,2018.04.09,rlad****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,여드름땜에 약처방받았는데 약도 속에 불편함없고 좋아요,2018.04.10 15:07:56
115236,1974200,먹는약달라햇는데 그정도로 안해도된다고 바르는약만 처방해주셨는데 효과봐서 좋아용 번창하십셔,5,1,"오상은님~
감사드립니다.
더욱더 노력하는 목동미소가인피부과가 되겠습니다.",,2018.03.09,nse5****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,먹는약달라햇는데 그정도로 안해도된다고 바르는약만 처방해주셨는데 효과봐서 좋아용 번창하십셔,2018.03.22 12:17:36
115236,1878465,"아이 치료차 방문했습니다.
병원이 깔끔하고, 치료도 잘 받았습니다.
의료진도 친절하십니다.
수고하세요~~",4,1,"구자윤님~ 
감사드립니다. 
더욱더 노력하는 목동미소가인피부과 되겠습니다. 
행복한주말 보내세요 ^ ^*",,2018.03.02,brig****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,"아이 치료차 방문했습니다.
병원이 깔끔하고, 치료도 잘 받았습니다.
의료진도 친절하십니다.
수고하세요~~",2018.03.03 11:03:31
115236,1711097,"처음 점 빼러 가서 무서웠는데,
선생님들이 친절하게 잘해주셨어요.",5,1,감사합니다.더욱더 노력하는 목동 미소가인피부과 되겠습니다. 행복한주말 보내세요^^,,2018.01.27,urli****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,"처음 점 빼러 가서 무서웠는데,
선생님들이 친절하게 잘해주셨어요.",2018.02.04 16:13:43
115236,1660359,"위치도 역에서 가깝고 선생님, 직원분들 모두 친절하셨습니다.",5,1,감사합니다.더욱더 노력하는 목동 미소가인피부과 되겠습니다. 행복한주말 보내세요^^,,2018.01.26,chin****,115236 목동미소가인피부과의원 default 상품,목동미소가인피부과의원,,false,"위치도 역에서 가깝고 선생님, 직원분들 모두 친절하셨습니다.",2018.01.27 10:57:39
