bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,replyRegDate
45535,7155216,여드름 관리 받고 있는데 빠르진 않지만 좀 좋아지고 있는 것 같아요~8번 남았는데 앞으로 쭉 꾸준히 받아보려고 합니다~,5,1,,,2019.09.27,ciel****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,여드름 관리 받고 있는데 빠르진 않지만 좀 좋아지고 있는 것 같아요~8번 남았는데 앞으로 쭉 꾸준히 받아보려고 합니다~,
45535,6951936,예약하고 가니 빨리 진료 받을 수 있어서 좋았습니당,5,1,,,2019.09.23,misu****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,예약하고 가니 빨리 진료 받을 수 있어서 좋았습니당,
45535,6925501,쾌적하고 깔끔한 분위기라 좋아요. 다른피부과도 가봤지만 여기가 제일 좋더라구요.,5,1,,,2019.09.18,shan****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,쾌적하고 깔끔한 분위기라 좋아요. 다른피부과도 가봤지만 여기가 제일 좋더라구요.,
45535,6837007,"예약을 하고 갔음에도 불구하고 대기 20분 있었구요 헤어라인 제모 였는데 마취연고 바르고 1시간 대기 했습니다. 헤어라인 전체가 아니고 일부 아주 적은 부분이었는데 비용이 너무 많이 나온거 같아요.
맨처음 불러준 가격에서 5만 5천원을  갑자기 빼시고 가격이 공정성이 없었습니다.",2,1,,,2019.09.16,deux****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"예약을 하고 갔음에도 불구하고 대기 20분 있었구요 헤어라인 제모 였는데 마취연고 바르고 1시간 대기 했습니다. 헤어라인 전체가 아니고 일부 아주 적은 부분이었는데 비용이 너무 많이 나온거 같아요.
맨처음 불러준 가격에서 5만 5천원을  갑자기 빼시고 가격이 공정성이 없었습니다.",
45535,6627374,절 진료해주신 선생님이 친절하시고 설명도 잘 해주셔서 만족합니다~~,4,1,,,2019.08.31,rkdu****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,절 진료해주신 선생님이 친절하시고 설명도 잘 해주셔서 만족합니다~~,
45535,6032448,직원분들은 항상 친절하게 안내해주시고 염증이 자주나서 자주 내원하는데 원장님께서 항상 잘해주십니다 앞으로도 자주 방문할거에요!,5,1,,,2019.07.15,kjy0****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,직원분들은 항상 친절하게 안내해주시고 염증이 자주나서 자주 내원하는데 원장님께서 항상 잘해주십니다 앞으로도 자주 방문할거에요!,
45535,5681553,기다리는시간이 좀 길엇지만 의사선생님 엄청 잘 보셔요!,5,1,,,2019.07.02,paeh****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,기다리는시간이 좀 길엇지만 의사선생님 엄청 잘 보셔요!,
45535,5486761,원장님이 친절하게 상담해주시고 직원들도 친절하셨습니다 치료도 잘 해주셨구요,5,1,,,2019.06.17,rlar****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,원장님이 친절하게 상담해주시고 직원들도 친절하셨습니다 치료도 잘 해주셨구요,
45535,5165612,입구부터 깔끔하고 편안한 분위기가너무좋아요,5,1,,,2019.05.23,hyou****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,입구부터 깔끔하고 편안한 분위기가너무좋아요,
45535,4993509,다들 친절하시네요~ ^^,5,1,,,2019.05.08,wmfi****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,다들 친절하시네요~ ^^,
45535,4991531,"노원역 병원이 너무 많아서 나름 비교하고 갔는데 직원, 의사선생님 모두 친절하게 해주셔서 좋았습니다",4,1,,,2019.05.08,kspo****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"노원역 병원이 너무 많아서 나름 비교하고 갔는데 직원, 의사선생님 모두 친절하게 해주셔서 좋았습니다",
45535,4835220,만족합니다~!,5,1,,,2019.04.25,kds2****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,만족합니다~!,
45535,4819476,편안하고 친절히 대해주세요.,5,1,,,2019.04.24,kira****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,편안하고 친절히 대해주세요.,
45535,4785417,"과잉진료 없이 친절하시고 꼼꼼하신 의사선생님 덕분에 염증도 빨리 나은것 같아요!

다만 오래 기다려야 하는 점이 조금 불편했어요 ㅠㅠ 진료도 수납도 빠르게 끝났지만 치료받을때랑 시간 예약을 하고도 기다리는 대기시간이 너무 길었던거 같아요",5,1,,,2019.04.17,meju****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"과잉진료 없이 친절하시고 꼼꼼하신 의사선생님 덕분에 염증도 빨리 나은것 같아요!

다만 오래 기다려야 하는 점이 조금 불편했어요 ㅠㅠ 진료도 수납도 빠르게 끝났지만 치료받을때랑 시간 예약을 하고도 기다리는 대기시간이 너무 길었던거 같아요",
45535,4751950,"의사선생님과 간호사 분들은 정말정말 친절하신데 데스크에서 예약 담당하는 사람들이 너무 별로에요. 이 병원이 예약을 해도 정말 오래 기다려요. 바쁘면 오래 기다릴 수 있죠. 그런데 그걸 설명할 때 이 사람들의 태도가 너무 불쾌해요. 아파서 병원 간 사람한테 짜증 풀려고 일하시나요? 

클린업 타 지점에 비해 노원점이 이런 점에선 전혀 관리가 안 되는 것 같아요. 전 여기 데스크 직원들 병원 예약이 아니라 음식점 예약받는 줄 알았어요. 오라면 오고 말라며 마는 식이에요.",1,1,,,2019.04.17,dlap****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"의사선생님과 간호사 분들은 정말정말 친절하신데 데스크에서 예약 담당하는 사람들이 너무 별로에요. 이 병원이 예약을 해도 정말 오래 기다려요. 바쁘면 오래 기다릴 수 있죠. 그런데 그걸 설명할 때 이 사람들의 태도가 너무 불쾌해요. 아파서 병원 간 사람한테 짜증 풀려고 일하시나요? 

클린업 타 지점에 비해 노원점이 이런 점에선 전혀 관리가 안 되는 것 같아요. 전 여기 데스크 직원들 병원 예약이 아니라 음식점 예약받는 줄 알았어요. 오라면 오고 말라며 마는 식이에요.",
45535,4910222,"친절하고 얘기해주셔서~~~
이해할수 있게 말씀해주셔서 좋았습니다",5,1,,,2019.04.13,zero****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"친절하고 얘기해주셔서~~~
이해할수 있게 말씀해주셔서 좋았습니다",
45535,4603763,"의사선생님도 너무 편안하게 잘 해주시고, 자세히 설명해 주세요! 피부과 처음 가보는데 의원이라 더 믿음이 갔던 거 같아욯ㅎㅎㅎ ㅂ병원도 ㄲㅐ끗하고 압출이랑 염증 주사도 맞았는데 다른 곳은 아프다는데 저는 안아팠어요ㅜㅠㅠ 잘 놔주신거 가타요!! 간호사 분들도 다 친절하시고 너무 조으세여",5,1,,,2019.04.01,luv_****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"의사선생님도 너무 편안하게 잘 해주시고, 자세히 설명해 주세요! 피부과 처음 가보는데 의원이라 더 믿음이 갔던 거 같아욯ㅎㅎㅎ ㅂ병원도 ㄲㅐ끗하고 압출이랑 염증 주사도 맞았는데 다른 곳은 아프다는데 저는 안아팠어요ㅜㅠㅠ 잘 놔주신거 가타요!! 간호사 분들도 다 친절하시고 너무 조으세여",
45535,4555043,"의사쌤 간호사쌤들도 엄청 친절해여:) 
첫방문이였는데 불친절하고 안좋으면어쩌지하고 걱정했는뎈ㅠㅠㅠ피부가 좋지않아서 에라 모르겠다 하고 간거였는데 생각외로 넘 친절해서 놀랬음ㅋㅋㅋㅋㅋ
노원에는 필러나 시술하면서 피부과라고 써서 헷갈리는경우가 있었는데 여기는 전문피부과 병원이여서 넘 좋았음????????????????????",5,1,,,2019.03.26,chix****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"의사쌤 간호사쌤들도 엄청 친절해여:) 
첫방문이였는데 불친절하고 안좋으면어쩌지하고 걱정했는뎈ㅠㅠㅠ피부가 좋지않아서 에라 모르겠다 하고 간거였는데 생각외로 넘 친절해서 놀랬음ㅋㅋㅋㅋㅋ
노원에는 필러나 시술하면서 피부과라고 써서 헷갈리는경우가 있었는데 여기는 전문피부과 병원이여서 넘 좋았음????????????????????",
45535,4390594,"피부과는 많은데 알고보니 전문의 병원은 정말 많지 않더라구요~
지인소개로 찾은 클린업 노원점
피부염으로 갔는데 너무 꼼꼼하게!! 자세하게!! 안내해 주셔서 
고민하던 ㅎ 팔자필러도 상담받고
ㅋㅋ 피부염 개선되면 시술받기로 했어요~~~
저희 회사 직원들도 피부과 시술 관심 많아서
많이 많이 소개할 생각이에요~~",5,1,,,2019.03.08,kkyo****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"피부과는 많은데 알고보니 전문의 병원은 정말 많지 않더라구요~
지인소개로 찾은 클린업 노원점
피부염으로 갔는데 너무 꼼꼼하게!! 자세하게!! 안내해 주셔서 
고민하던 ㅎ 팔자필러도 상담받고
ㅋㅋ 피부염 개선되면 시술받기로 했어요~~~
저희 회사 직원들도 피부과 시술 관심 많아서
많이 많이 소개할 생각이에요~~",
45535,4393029,요즘 미세먼지때문인지 얼굴이 다 뒤집어져서 피부과검색해서 최종적으루 예약해서 갔는데! 원장님도 세 분이나 계시고 너무너무 친절하게 대해주셔서 좋았어요! 진료도 꼼꼼하게 잘 봐주시고 또 무엇보다 모두 전문의라고 하셔서 진료내용에 더욱 신뢰가 갔습니다! 어르신들이나 아이들도 진료 많이 보던데 다 이유가 있더라구요!  병원 간 김에 궁금한것 몇 가지 더 물어봤는데 확실히 잘못알고있던 점들이 많았어요..ㅋ 다른클리닉에서 상담받구 고민햇었는데 확실히 시술 상담은 전문의랑 하는걸루...일단은 피부염치료가 우선이라고 하셔서 무한신뢰! 과잉진료없고 믿을 수 있고 친절하게 대해주셔서 너무 좋았습니다! 다음주에 또 뵙겠습니다~*,5,1,,,2019.03.08,luvl****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,요즘 미세먼지때문인지 얼굴이 다 뒤집어져서 피부과검색해서 최종적으루 예약해서 갔는데! 원장님도 세 분이나 계시고 너무너무 친절하게 대해주셔서 좋았어요! 진료도 꼼꼼하게 잘 봐주시고 또 무엇보다 모두 전문의라고 하셔서 진료내용에 더욱 신뢰가 갔습니다! 어르신들이나 아이들도 진료 많이 보던데 다 이유가 있더라구요!  병원 간 김에 궁금한것 몇 가지 더 물어봤는데 확실히 잘못알고있던 점들이 많았어요..ㅋ 다른클리닉에서 상담받구 고민햇었는데 확실히 시술 상담은 전문의랑 하는걸루...일단은 피부염치료가 우선이라고 하셔서 무한신뢰! 과잉진료없고 믿을 수 있고 친절하게 대해주셔서 너무 좋았습니다! 다음주에 또 뵙겠습니다~*,
45535,4384280,"대기 시간 많을 줄 알았는데 빨리 봐서 좋았어요!  
그냥 피부 가려운거 때문에 가서 이것저것 물어보는데도 설명도 잘 해주시고 다들 친절하시네요. 귀찮아 하는 곳도 많던데 .....
마땅히 갈 피부과 못 찾고 있었는데 와보길 잘 한거 같아요",5,1,,,2019.03.07,j100****,CU클린업피부과 노원점,클린업피부과의원 노원점,,false,"대기 시간 많을 줄 알았는데 빨리 봐서 좋았어요!  
그냥 피부 가려운거 때문에 가서 이것저것 물어보는데도 설명도 잘 해주시고 다들 친절하시네요. 귀찮아 하는 곳도 많던데 .....
마땅히 갈 피부과 못 찾고 있었는데 와보길 잘 한거 같아요",
