bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,,
252536,7034015,친절함이 좋았습니다~^^,5,1,,,2019.09.30,wodu****,그랑메디의원,그랑메디의원,,FALSE,친절함이 좋았습니다~^^,,
252536,6377375,친절하게 말씀해주셔서 좋았습니다~,5,1,,,2019.08.16,kcbu****,그랑메디의원,그랑메디의원,,FALSE,친절하게 말씀해주셔서 좋았습니다~,,
221354,7185141,직원들ㆍ원장님 모두 친절하고 건물도 깔끔하고 시술도 좋았어요,5,1,,,2019.10.11,bini****,상담 예약,노원 톡스앤필의원,,FALSE,직원들ㆍ원장님 모두 친절하고 건물도 깔끔하고 시술도 좋았어요,,
221354,7180186,"굉장히 친절하고 편안해요 
강남만 다녔는데 노원에 갈만한 피부과 생겨서 좋네요",5,1,,,2019.10.10,hji5****,상담 예약,노원 톡스앤필의원,,FALSE,"굉장히 친절하고 편안해요 
강남만 다녔는데 노원에 갈만한 피부과 생겨서 좋네요",,
221354,7138715,괜찮아요ㅋ,4,1,,,2019.10.07,vkfk****,상담 예약,노원 톡스앤필의원,,FALSE,괜찮아요ㅋ,,
221354,7050779,"시술 편안하게 잘받구 왔어요
입술모양도 생각햇던것보다 이쁘게 됏네요",5,1,,,2019.10.02,gall****,상담 예약,노원 톡스앤필의원,,FALSE,"시술 편안하게 잘받구 왔어요
입술모양도 생각햇던것보다 이쁘게 됏네요",,
221354,7044499,톡스앤필로 바뀐지 모르고 갔는데 다행히 의사쌤은 그대로시고 간호사분들은 더 친절해지신 것 같네요.,5,1,,,2019.10.02,witt****,상담 예약,노원 톡스앤필의원,,FALSE,톡스앤필로 바뀐지 모르고 갔는데 다행히 의사쌤은 그대로시고 간호사분들은 더 친절해지신 것 같네요.,,
221354,7034951,애용하는 피부과입니다,5,1,,,2019.10.01,ysh4****,상담 예약,노원 톡스앤필의원,,FALSE,애용하는 피부과입니다,,
221354,7044133,가격도 저렴하고 안아프게 보톡스주사맞았습니다~^^,5,1,,,2019.09.25,rmsg****,상담 예약,노원 톡스앤필의원,,FALSE,가격도 저렴하고 안아프게 보톡스주사맞았습니다~^^,,
221354,6956908,설명잘해주시궁 친절~~좋아요,4,1,,,2019.09.25,jihu****,상담 예약,노원 톡스앤필의원,,FALSE,설명잘해주시궁 친절~~좋아요,,
221354,6892404,다들 친절하시고 레이저 시술 받는데  상담도 세심하게 해주셔서 좋았어요  레이저 시술 원장님도 꼼꼼하게 잘해주셨어요  다만 처음이고 병원인데 원장 상담이 없어서  아쉬워서  1점 뺐어요,4,1,,,2019.09.20,bboy****,상담 예약,노원 톡스앤필의원,,FALSE,다들 친절하시고 레이저 시술 받는데  상담도 세심하게 해주셔서 좋았어요  레이저 시술 원장님도 꼼꼼하게 잘해주셨어요  다만 처음이고 병원인데 원장 상담이 없어서  아쉬워서  1점 뺐어요,,
221354,6888846,두번째방문인데 친절하고 편안한 느낌이었어요,5,1,,,2019.09.19,jayh****,상담 예약,노원 톡스앤필의원,,FALSE,두번째방문인데 친절하고 편안한 느낌이었어요,,
221354,6933180,친절하고 금방 끝났어요,5,1,,,2019.09.16,thdb****,상담 예약,노원 톡스앤필의원,,FALSE,친절하고 금방 끝났어요,,
221354,6782419,많이 물어봤는데도 친절히 잘 설명 해주시고  좋았어요. 막 상업적인 느낌도 안나구 꼼꼼히 진료해주시고 맘에듭니다.,5,1,,,2019.09.11,cher****,상담 예약,노원 톡스앤필의원,,FALSE,많이 물어봤는데도 친절히 잘 설명 해주시고  좋았어요. 막 상업적인 느낌도 안나구 꼼꼼히 진료해주시고 맘에듭니다.,,
221354,6760658,"깔끔하고 친절하고 너무 좋았습니다. 
다음달 재방문 할생각입니다~",5,1,,,2019.09.09,esh1****,상담 예약,노원 톡스앤필의원,,FALSE,"깔끔하고 친절하고 너무 좋았습니다. 
다음달 재방문 할생각입니다~",,
221354,6703450,세번째 방문인데 항상 친절하시구 시술도 넘 예쁘게 해주셔서 좋았습니당 ~~,5,1,,,2019.09.05,dog_****,상담 예약,노원 톡스앤필의원,,FALSE,세번째 방문인데 항상 친절하시구 시술도 넘 예쁘게 해주셔서 좋았습니당 ~~,,
221354,6662367,모두들 친절해서 편히 시술받음,5,1,,,2019.09.02,2co2****,상담 예약,노원 톡스앤필의원,,FALSE,모두들 친절해서 편히 시술받음,,
221354,6718145,좋아요 또 방문하려고요,5,1,,,2019.08.31,jylo****,상담 예약,노원 톡스앤필의원,,FALSE,좋아요 또 방문하려고요,,
221354,6604678,너무만족했어요 ㅎㅎ 재방문예정이에요,5,1,,,2019.08.29,ksmz****,상담 예약,노원 톡스앤필의원,,FALSE,너무만족했어요 ㅎㅎ 재방문예정이에요,,
221354,6611171,평소 얼굴에 뭐가 잘 안나는 편인데 잡티가 막 생기더니 관리를 해도 안되서 이번에 시술을 받게 되었는데 결과가 만족스러워 리뷰 남깁니다. 방문해서 검사도 받아봤더니 피부 결도 안좋은 상태여서 레이저 차료 하면서 같이 관리를 받아보기로 했는데 체계적으로 검사 받고 진료하니 믿을 수 있어서 좋았네요~ 그리고 무엇보다 직원분들이 다 친절하셔서 불편함 없이 잘 받았네요!ㅎ,5,1,,,2019.08.28,wjdg****,상담 예약,노원 톡스앤필의원,,FALSE,평소 얼굴에 뭐가 잘 안나는 편인데 잡티가 막 생기더니 관리를 해도 안되서 이번에 시술을 받게 되었는데 결과가 만족스러워 리뷰 남깁니다. 방문해서 검사도 받아봤더니 피부 결도 안좋은 상태여서 레이저 차료 하면서 같이 관리를 받아보기로 했는데 체계적으로 검사 받고 진료하니 믿을 수 있어서 좋았네요~ 그리고 무엇보다 직원분들이 다 친절하셔서 불편함 없이 잘 받았네요!ㅎ,,
